index,salary_id,employer_name,location_name,Latitude,Longitude,location_state,location_country,job_title,job_title_category,job_title_rank,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus,stock_value_bonus,comments,submitted_at
18,40,oracle,"bala cynwyd, pa",40.0131418,-75.2304038,PA,US,student intern co-op,Other,Intern,0.0,0.0,24.0,0.0,0.0,$0,,3/21/16 13:06
19,45,klick,"toronto, canada",43.653226,-79.3831843,,CA,full stack developer,Web,,5.0,3.0,85000.0,0.0,5000.0,0,,3/21/16 13:06
20,46,small consulting shop,"durham, nc",35.9940329,-78.898619,NC,US,developer,Software,,10.0,3.5,150000.0,,,,,3/21/16 13:06
21,47,amazon,seattle,47.6061389,-122.3328481,,,sde1,Software,1,0.0,0.0,95000.0,20000.0,,30000,this was in 2012,3/21/16 13:06
22,48,nbc universal,new york,40.7127753,-74.0059728,NY,US,senior analyst,Data,Senior,2.0,1.5,55000.0,0.0,0.0,0,Dont go there,3/21/16 13:07
23,50,30 person startup,san francisco,37.7749295,-122.4194155,,,software engineer,Software,,5.0,2.0,125000.0,0.0,0.0,0,options were granted but have no real monetary value,3/21/16 13:07
24,53,liveops,santa clara,37.3541079,-121.9552356,,,sr engineer,Engineering,Senior,6.0,3.0,145000.0,0.0,20000.0,15000,,3/21/16 13:07
25,55,expedia,chicago,41.8781136,-87.6297982,,,software engineer,Software,,6.8,2.5,78000.0,5000.0,4000.0,,Expedia sucks! Don't come here...,3/21/16 13:08
26,59,quick left,boulder co,40.0149856,-105.2705456,CO,US,senior developer,Software,Senior,6.0,1.0,120000.0,0.0,0.0,500,,3/21/16 13:08
27,60,1&1 development srl,"bucharest, romania",44.4267674,26.1025384,,OM,software developer,Software,,5.0,2.0,17264.0,0.0,0.0,0,,3/21/16 13:08
28,62,early-stage startup,"stockholm, sweden",59.3293235,18.0685808,,SE,ios developer,Software,,8.0,0.8,36.5,0.0,0.0,0,"Yup. That's what I make. And trust me, I'm a pretty decent developer.",3/21/16 13:09
29,64,rei systems,"sterling, va",39.0066993,-77.4291298,VA,US,associate software engineer,Software,,1.0,1.0,55000.0,,,,,3/21/16 13:09
30,69,mitsubishi hitachi power systems america,"orlando, florida",28.5383832,-81.3789269,FL,US,steam turbine service engineer,Engineering,,4.0,1.0,80001.0,10000.0,,,$10k was relocation.,3/21/16 13:10
31,70,startup,"detroit, mi",42.331427,-83.0457538,MI,US,senior engineer,Engineering,Senior,8.0,3.0,100000.0,0.0,0.0,80000,,3/21/16 13:10
32,74,sf startup,"san francisco, ca",37.7749295,-122.4194155,CA,US,web developer,Web,,5.0,0.5,125000.0,5000.0,10.0,,,3/21/16 13:10
33,77,intel,"hillsboro, oregon",45.5201113,-122.989848,OR,US,product development engineer,Software,,2.5,2.5,82000.0,,,,,3/21/16 13:11
34,79,city of austin,"austin, tx",30.267153,-97.7430608,TX,US,it programmer,Other,,40.0,15.0,103000.0,0.0,1500.0,0,,3/21/16 13:11
35,88,early-stage startup,"denver, co",39.7392358,-104.990251,CO,US,director of product,Management,,5.0,3.0,80000.0,,,50000,,3/21/16 13:11
36,89,social tables,washington dc,38.9071923,-77.0368707,WA,US,engineer,Engineering,,2.0,1.0,80000.0,5000.0,,,,3/21/16 13:11
37,90,loyalty new zealand,"wellington, new zealand",-41.2923814,174.7787463,,NZ,software engineer,Software,,2.0,2.0,50000.0,,5000.0,,,3/21/16 13:12
38,91,freelance,"denver, co",39.7392358,-104.990251,CO,US,software engineer,Software,,20.0,11.0,190000.0,0.0,0.0,0,Estimated - bill @ $145-180/hr; don't work year-round.,3/21/16 13:12
39,95,.gov,"albany, ny",42.6525793,-73.7562317,NY,US,architect,Other,,18.0,16.0,119000.0,0.0,2000.0,0,,3/21/16 13:12
41,101,twilio,san francisco,37.7749295,-122.4194155,,,software engineer new grad,Software,,1.0,1.0,115000.0,10000.0,,~80k options,,3/21/16 13:12
42,103,stronghold data,joplin mo,37.0842271,-94.513281,MO,US,teir two tech,Other,,9.0,4.0,38000.0,0.0,1000.0,0,,3/21/16 13:12
44,105,employer x,phils,,,,,web developer,Web,,8.0,2.0,100000.0,,,,,3/21/16 13:13
45,106,financial sector,"bristol, uk",51.454513,-2.58791,,,software analyst,Data,,2.0,1.0,23000.0,0.0,500.0,0,,3/21/16 13:13
46,109,comcast,"philadelphia, pa",39.9525839,-75.1652215,PA,US,python engineer,Engineering,,5.0,1.0,138000.0,0.0,0.0,0,"W2 Contractor, 70$/hr. ",3/21/16 13:13
47,112,linkedin,"san jose, ca",37.33874,-121.8852525,CA,US,site reliability engineer,Engineering,,4.0,1.0,140000.0,,14000.0,43750,,3/21/16 13:13
48,114,nara logics,"cambridge, ma",42.3736158,-71.1097335,MA,US,software developer,Software,,12.0,4.0,115000.0,,,,"Startup, granted ~0.4% stock options",3/21/16 13:14
49,115,cloudflare,san francisco,37.7749295,-122.4194155,,,solution eningeer,Other,,6.8,,83000.0,,25000.0,,,3/21/16 13:14
50,117,mckinsey & company,san francisco,37.7749295,-122.4194155,,,business analyst,Data,,1.5,1.5,90000.0,10000.0,22000.0,0,,3/21/16 13:14
51,118,small b2b company,"barcelona, spain",41.3873974,2.168568,,ES,system administrator,Management,,10.0,10.0,1575.0,0.0,3000.0,0,,3/21/16 13:14
52,120,microsoft,"redmond, wa",47.6739881,-122.121512,WA,US,software engineer 1,Software,1,1.0,1.0,105000.0,15000.0,,50000,,3/21/16 13:14
54,125,startup,"san francisco, ca",37.7749295,-122.4194155,CA,US,software engineer,Software,,2.5,1.0,100000.0,0.0,0.0,,Completed coding bootcamp in 2013,3/21/16 13:14
55,127,cornell,"ithaca, ny",42.4439614,-76.5018807,NY,US,phd student,Other,,4.0,4.0,28500.0,0.0,0.0,0,,3/21/16 13:14
57,129,booking,amsterdam,52.3675734,4.9041389,,,perl developer,Software,,10.0,1.0,61.7,,25000.0,35k USD,,3/21/16 13:15
58,130,amazon,seattle,47.6061389,-122.3328481,,,software development engineer,Software,,0.0,1.0,95000.0,22000.0,20000.0,52000,,3/21/16 13:15
59,132,too small to say,"oklahoma city, ok",35.4675602,-97.5164276,OK,US,web developer general it,Web,,10.0,7.5,88000.0,0.0,8000.0,2500,,3/21/16 13:15
60,135,ibm,chicago,41.8781136,-87.6297982,,,linux engineer,Engineering,,1.0,1.0,84000.0,,,,,3/21/16 13:15
61,136,synopsys,san francisco,37.7749295,-122.4194155,,,"software engineer, sr 1",Software,1,3.0,2.0,115000.0,0.0,10000.0,5000,,3/21/16 13:15
62,138,analytics company,"raleigh, nc",35.7795897,-78.6381787,NC,US,software developer,Software,,11.0,2.0,103000.0,,12000.0,,,3/21/16 13:16
63,142,epic,"verona, wisconsin",42.990831,-89.5331773,WI,US,software developer,Software,,4.0,2.0,94000.0,,2000.0,,,3/21/16 13:16
65,151,b2b,nj,40.0583238,-74.4056612,,,senior developer,Software,Senior,10.0,3.0,140000.0,0.0,10000.0,0,,3/21/16 13:17
66,152,texas tech  system,"lubbock, tx",33.5845617,-101.8456417,TX,US,programmer analyst iii,Data,3,7.0,3.0,55000.0,0.0,0.0,0,,3/21/16 13:17
67,153,unc-ch/ncsu joint biomedical engr. dept,"raleigh, nc",35.7795897,-78.6381787,NC,US,phd student,Other,,4.0,1.0,24073.0,0.0,0.0,0,NIH Paygrade covers Health+Tuition,3/21/16 13:17
68,156,investment bank,"new york, ny",40.7127753,-74.0059728,NY,US,m&a analyst,Data,,1.0,1.0,85000.0,15000.0,70000.0,0,Soul sucking,3/21/16 13:17
69,158,microsoft,"london, uk",51.5072178,-0.1275862,,,software engineer,Software,,3.0,0.0,86742.0,0.0,8532.0,å£3500,,3/21/16 13:17
70,159,apple,sunnyvale,37.36883,-122.0363496,,,senior software engineer,Software,Senior,10.0,2.0,151000.0,20000.0,40000.0,10000,,3/21/16 13:17
71,161,ihs,poland,51.919438,19.145136,,PL,software engineer,Software,,4.0,2.0,30000.0,,,2500,,3/21/16 13:17
72,162,conde nast,"new york city, ny",40.7127753,-74.0059728,NY,US,software engineer - level 2,Software,2,8.0,4.0,112000.0,0.0,2.0,0,,3/21/16 13:17
73,166,pariveda solutions,dallas,32.7766642,-96.7969879,,,consultant ii,Other,2,3.0,2.0,77000.0,5000.0,0.0,,Pay is uniform across all markets with exception of NY and SF. Insane  benefits.,3/21/16 13:18
74,167,mid-size fundraising startup,"san francisco, ca",37.7749295,-122.4194155,CA,US,senior software engineer,Software,Senior,11.0,0.0,165000.0,0.0,0.0,0.15%,,3/21/16 13:18
75,168,starbucks coffee company,"seattel, wa",47.6061389,-122.3328481,WA,US,senior application developer,Software,Senior,10.0,3.0,127000.0,0.0,15.0,10,,3/21/16 13:18
76,175,tumblr,new york,40.7127753,-74.0059728,,,content strategist/blogger advocate,Other,,6.8,2.0,129857.0,,,,,3/21/16 13:19
77,176,linkedin,california,36.778261,-119.4179324,,,senior web developer,Web,Senior,10.0,4.0,165000.0,,15000.0,50000,,3/21/16 13:19
78,180,yahoo!,"toronto, canada",43.653226,-79.3831843,,,senior software development engineer,Software,Senior,10.0,6.0,93000.0,15000.0,9000.0,,,3/21/16 13:20
79,182,factset,"connecticut, USA",41.6032207,-73.087749,,,software engineer,Software,,5.0,3.0,120000.0,5000.0,0.0,0,,3/21/16 13:20
80,184,tango.me,"Mountain View ,California",37.3860517,-122.0838511,,,senior data engineer,Data,Senior,10.0,1.0,130000.0,,,,,3/21/16 13:20
81,185,jp morgan,New York,40.7127753,-74.0059728,,,senior java dev,Other,Senior,8.0,5.0,45000.0,0.0,3000.0,0,,3/21/16 13:21
82,186,microsoft,"Redmond, wa",47.6739881,-122.121512,,,sde ii,Software,2,4.0,4.0,125000.0,50000.0,10000.0,5000,,3/21/16 13:21
83,187,google nyc,new york,40.7127753,-74.0059728,,,swe iii,Software,3,10.0,1.0,135500.0,50000.0,22300.0,43700,signing bonus in form of paid relocation,3/21/16 13:21
84,189,rockfish interactive,"Rogers, Arkansas",36.3335129,-94.1256953,,,developer ii,Software,2,5.0,2.0,65000.0,0.0,1950.0,0,,3/21/16 13:21
85,191,apple,"cupertino, CA",37.3229978,-122.0321823,CA,US,senior system engineer,Engineering,Senior,9.0,1.0,130000.0,20000.0,,40000,,3/21/16 13:21
86,193,amazon,"seattle, WA",47.6061389,-122.3328481,WA,US,ux designer ii,Other,2,1.0,1.0,12000.0,55000.0,15000.0,20000,,3/21/16 13:21
87,195,walmartlabs,"San Bruno, CA",37.6304904,-122.4110835,CA,US,principal/lead software engineer,Software,,14.0,4.0,190000.0,150000.0,50000.0,75000,,3/21/16 13:21
88,205,iceland,london,51.5072178,-0.1275862,,,sales assistant,Other,,0.0,0.0,8000.0,0.0,0.0,0,"Great retail job, å£7.98 an hour, higher than the competition bar from Aldi, Lidl ",3/21/16 13:22
89,211,intel,"hillsboro, oregon",45.5201113,-122.989848,OR,US,computer hardware engineer,Engineering,,1.5,1.5,72000.0,0.0,0.0,0,,3/21/16 13:23
90,212,google,mountain view,37.3860517,-122.0838511,,,senior software engineer,Software,Senior,15.0,5.0,178000.0,15000.0,50000.0,100000,Love every day of my job,3/21/16 13:23
91,214,vertafore,bothell,47.760111,-122.2054452,,,software engineer in devops i,Software,1,1.0,1.0,50000.0,0.0,,0,"perks include onsite barristas, free drinks several expense paid corporate events a year (party cruise, etc.)",3/21/16 13:23
92,215,amazon,"seattle, WA",47.6061389,-122.3328481,WA,US,ux designer ii,Other,2,1.0,1.0,120000.0,0.0,0.0,0,,3/21/16 13:26
94,217,small ~15 startup,israel,31.046051,34.851612,,IL,senior software engineer,Software,Senior,8.0,2.0,90000.0,,,,Annual stock exists but don't remember what it is,3/21/16 13:23
95,219,municipality,"bremerhaven, germany",53.5395845,8.5809424,,DE,software developer,Software,,11.0,7.0,54100.0,,3595.0,,,3/21/16 13:23
96,222,microsoft,"Redmond, wa",47.6739881,-122.121512,WA,US,software engineer 2,Software,2,4.0,3.5,115000.0,50000.0,15000.0,7500,,3/21/16 13:23
97,223,startup,berlin,52.5200066,13.404954,,,lead engineer,Engineering,,7.0,0.0,78000.0,,,,,3/21/16 13:23
98,227,small web biz,palo alto,37.4418834,-122.1430195,,,engineer,Engineering,,2.0,0.2,140.0,10.0,,,,3/21/16 13:24
99,230,analyst warehouse,dallas tx,32.7766642,-96.7969879,TX,US,software developer,Software,,10.0,1.0,90000.0,0.0,0.0,0,,3/21/16 13:24
100,231,self,austin,30.267153,-97.7430608,,,owner,Other,,12.0,5.0,80000.0,0.0,120000.0,0,,3/21/16 13:24
101,234,vmware,seattle,47.6061389,-122.3328481,,,sr. mts,Other,Senior,10.0,1.0,155000.0,25000.0,15000.0,,,3/21/16 13:24
102,235,amazon,san francisco,37.7749295,-122.4194155,,,sdeii,Software,,6.0,4.0,130000.0,,,150000,Via Acquisition,3/21/16 13:24
103,237,fyber gmbh,berlin,52.5200066,13.404954,,,senior software developer,Software,Senior,9.0,4.0,65000.0,3000.0,0.0,0,,3/21/16 13:24
104,239,twilio,san francisco,37.7749295,-122.4194155,,,senior software engineer,Software,Senior,2.5,2.5,132000.0,5000.0,0.0,,,3/21/16 13:24
105,245,facebook,seattle,47.6061389,-122.3328481,,,software engineer,Software,,6.0,4.0,225000.0,50000.0,45000.0,200000,,3/21/16 13:24
106,249,dupont pioneer,"johnston, iowa",41.6729856,-93.6977354,IA,US,software developer,Software,,10.0,3.0,125000.0,10000.0,15000.0,0,,3/21/16 13:25
107,252,newspaper company,california,36.778261,-119.4179324,CA,US,cto,Management,,8.0,1.0,100000.0,0.0,0.0,0,,3/21/16 13:25
108,253,bhhc,"omaha, ne",41.2565369,-95.9345034,NE,US,fp&a analyst,Data,,3.0,3.0,46500.0,0.0,0.0,0,,3/21/16 13:25
109,254,optum,"plymouth, mn",45.0105194,-93.4555093,MN,US,software engineer,Software,,6.0,1.0,85000.0,3000.0,5000.0,1000,,3/21/16 13:25
110,255,mathworks,boston metro,,,,,senior software engineer,Software,Senior,10.0,4.0,115000.0,0.0,10000.0,0,,3/21/16 13:25
111,256,american express,"phoenix, arizona",33.4483771,-112.0740373,AZ,US,intern,Other,Intern,0.0,0.0,60000.0,5000.0,,,"Summer Intern, June-August",3/21/16 13:25
112,261,hewlett packard enterprise,sunnyvale,37.36883,-122.0363496,,,software engineer,Software,,1.0,1.0,100000.0,10000.0,0.0,3000,,3/21/16 13:26
113,262,salesforce,"seattle, wa",47.6061389,-122.3328481,WA,US,senior software engineer,Software,Senior,6.8,2.0,125000.0,,18000.0,,,3/21/16 13:26
114,264,autodesk,san francisco,37.7749295,-122.4194155,,,software engineer,Software,,5.0,0.0,130000.0,0.0,13000.0,5000,,3/21/16 13:26
115,265,directv/at&t,"culver city, ca",34.0211224,-118.3964665,CA,US,application engineer,Engineering,,5.0,4.0,79000.0,0.0,10000.0,0,"Easy job, lots of training. But things might change when AT&T starts taking over.",3/21/16 13:26
116,267,facebook,menlo park,37.4529598,-122.1817252,,,software engineer,Software,,3.0,1.0,150000.0,50000.0,15000.0,100000,,3/21/16 13:26
117,268,accretive technology group,seattle,47.6061389,-122.3328481,,,software developer,Software,,1.0,1.0,75000.0,0.0,2000.0,0,,3/21/16 13:26
118,273,sunpower,"richmond, ca",37.9357576,-122.3477486,CA,US,financial engineer,Engineering,,0.0,1.0,87000.0,0.0,8000.0,0,Mainly software for finance,3/21/16 13:26
119,276,mri software llc,"solon, oh",41.3897764,-81.4412259,OH,US,software engineer,Software,,3.0,1.0,48500.0,,,,,3/21/16 13:27
120,277,amazon,seattle,47.6061389,-122.3328481,,,sde,Software,,4.0,4.0,91000.0,20000.0,0.0,35000,,3/21/16 13:27
122,280,-,remote us,37.09024,-95.712891,,,senior security engineer,Engineering,Senior,12.0,3.0,115000.0,0.0,46000.0,0,,3/21/16 13:27
123,282,microsoft,redmond,47.6739881,-122.121512,,,sde ii,Software,2,3.0,3.0,145000.0,50000.0,28000.0,,,3/21/16 13:27
124,283,synapticon,stuttgart,48.7758459,9.1829321,,,robotics/embedded systems engineer,Engineering,,0.0,0.0,43000.0,0.0,0.0,0,5 years old company,3/21/16 13:27
125,287,dropbox,san francisco,37.7749295,-122.4194155,,,software engineer,Software,,5.0,2.5,140.0,30.0,0.0,,,3/21/16 13:27
126,292,quattro folia,helsinki,60.1698557,24.938379,,,senior software engineer,Software,Senior,9.0,1.0,6000.0,6000.0,0.0,0,,3/21/16 13:27
127,294,justice systems,"albuquerque, nm",35.0843859,-106.650422,NM,US,software engineer,Software,,2.0,1.0,51000.0,0.0,0.0,0,,3/21/16 13:27
128,297,google,mountain view,37.3860517,-122.0838511,,,software engineer ii,Software,2,2.0,2.0,131000.0,15000.0,20000.0,50000,,3/21/16 13:28
129,301,apple,cupertino,37.3229978,-122.0321823,,,data engineer/software engineer,Data,,6.0,2.5,145000.0,25000.0,20.0,100k $ annually,,3/21/16 13:28
130,302,pariveda solutions,dallas,32.7766642,-96.7969879,,,consultant 2,Other,2,2.0,2.0,77000.0,5000.0,0.0,0,,3/21/16 13:28
131,305,a stealth startup,washington d.c.,38.9071923,-77.0368707,WA,US,lead,Other,,17.0,1.0,175000.0,0.0,10000.0,0,,3/21/16 13:28
132,306,vmware,palo alto,37.4418834,-122.1430195,,,member of technical staff,Other,,4.0,3.0,125000.0,40000.0,16000.0,,,3/21/16 13:28
133,311,myself,"rennes, france",48.117266,-1.6777926,,FR,3d graphics engineer,Engineering,,5.0,1.5,15000.0,,,,4,3/21/16 13:28
134,313,iqmetrix,"regina, sk canada",50.4452112,-104.6188944,,CA,software developer,Software,,0.0,1.0,55000.0,0.0,0.0,0,,3/21/16 13:29
135,317,delaware north,"buffalo, ny",42.8864468,-78.8783689,NY,US,data visualization engineer,Data,,3.0,0.0,80000.0,,,,,3/21/16 13:29
136,318,pindrop,atlanta,33.748752,-84.3876845,,,operations engineer,Engineering,,4.0,1.0,85000.0,,8500.0,,,3/21/16 13:29
137,319,twitter,sf,37.7749295,-122.4194155,,,senior software engineer,Software,Senior,8.0,1.0,170000.0,0.0,0.0,35000,,3/21/16 13:29
138,324,series c saas provider,"san francisco, ca",37.7749295,-122.4194155,CA,US,full stack engineer,Web,,16.0,2.0,132000.0,0.0,0.0,0,,3/21/16 13:29
139,325,garmin,"olathe, ks",38.8813958,-94.8191285,KS,US,software engineer 2,Software,2,2.8,2.75,72200.0,4000.0,0.0,0,No annual stock bonus but you get offered an ESPP with discounted stock rates that guarantees a 15% return on up to 10% invested every 6 months. 75 cents on the dollar 401k matching and a an additional 5% of your base salary added to it for free. Rest of the benefits are great as well. Boring to work for.,3/21/16 13:29
140,326,of oklahoma,"norman, ok",35.2225668,-97.4394777,OK,US,it support technician iii,Other,3,16.0,14.0,37500.0,0.0,0.0,0,,3/21/16 13:29
141,327,aig,"wilton, ct usa",41.1953739,-73.4378988,CT,US,microsoft developer for release management (grade 22),Software,,20.0,2.0,165000.0,20000.0,0.0,0,,3/21/16 13:29
142,329,picwell,philadelphia,39.9525839,-75.1652215,,,data scientist,Data,,2.0,1.0,75000.0,0.0,0.0,0,,3/21/16 13:30
143,337,nope,united states,37.09024,-95.712891,,US,software developer,Software,,5.0,4.0,61000.0,1000.0,1000.0,0,,3/21/16 13:30
144,340,amazon,"seattle, wa",47.6061389,-122.3328481,WA,US,sde i,Software,1,2.0,0.5,105000.0,30000.0,,,,3/21/16 13:30
145,342,igs energy,"columbus, oh",39.9611755,-82.9987942,OH,US,application developer,Software,,3.0,1.0,65000.0,0.0,5000.0,0,,3/21/16 13:30
146,347,software company,palo alto,37.4418834,-122.1430195,,,ceo,Management,,10.0,2.0,100000.0,,,,,3/21/16 13:30
147,351,spotx,"denver, co",39.7392358,-104.990251,CO,US,software engineer,Software,,7.0,2.0,84000.0,1500.0,1500.0,0,,3/21/16 13:31
148,352,solarcity,sf,37.7749295,-122.4194155,,,software engineer,Software,,3.0,2.0,120000.0,0.0,0.0,30000,,3/21/16 13:31
149,355,perk,"austin, tx",30.267153,-97.7430608,TX,US,developer,Software,,2.0,0.0,54000.0,2500.0,0.0,0,,3/21/16 13:31
150,358,building robotics,"oakland, ca",37.8043514,-122.2711639,CA,US,senior backend engineer,Engineering,Senior,9.0,2.0,145000.0,,,,,3/21/16 13:31
151,363,pomeroy,cincinatti,39.1031182,-84.5120196,,,solutions architect,Other,,23.0,2.0,130000.0,,10000.0,0,,3/21/16 13:31
152,364,ibm,"san diego, ca",32.715738,-117.1610838,CA,US,software developer,Software,,9.0,8.0,151000.0,15000.0,5000.0,5000,,3/21/16 13:31
153,365,quicken loans,"detroit, mi",42.331427,-83.0457538,MI,US,sr. software engineer,Software,Senior,5.0,3.0,82000.0,0.0,13000.0,0,,3/21/16 13:32
154,366,bank,"stockholm, sweden",59.3293235,18.0685808,,SE,junior developer,Software,Junior,1.0,1.0,48000.0,0.0,3000.0,3000 USD,,3/21/16 13:32
155,367,ericsson,"southampton, uk",50.9105468,-1.4049018,,,support engineer,Engineering,,3.0,3.0,62568.0,0.0,0.0,0,,3/21/16 13:32
156,368,goldman sachs,london,51.5072178,-0.1275862,,,analyst (technology),Data,,0.0,0.0,60000.0,13000.0,5000.0,0,Amounts converted from GBP to USD,3/21/16 13:32
157,371,of washington,"seattle, wa",47.6061389,-122.3328481,WA,US,data scientist,Data,,10.0,4.0,101000.0,0.0,0.0,0,,3/21/16 13:32
158,373,verizon,tampa,27.9516896,-82.4587527,,,internal help desk,Other,Intern,4.0,4.0,38000.0,0.0,3000.0,,,3/21/16 13:32
159,374,state of oregon,oregon,43.8041334,-120.5542012,OR,US,senior software developer,Software,Senior,10.0,5.0,80000.0,0.0,0.0,0,,3/21/16 13:32
160,378,evertec,puerto rico,18.220833,-66.590149,,PR,software developer,Software,,2.5,1.5,40000.0,,2.0,,,3/21/16 13:33
161,379,nist,"gaithersburg, md",39.1439689,-77.2016062,MD,US,postdoc,Other,,7.0,1.0,67000.0,0.0,0.0,0,,3/21/16 13:33
162,386,emc,seattle,47.6061389,-122.3328481,,,senior sde,Software,Senior,5.0,5.0,132000.0,10000.0,15000.0,47600,,3/21/16 13:33
163,387,bank,"warsaw, poland",52.2296756,21.0122287,,PL,data mining analyst,Data,,6.0,5.0,30000.0,0.0,0.0,0,,3/21/16 13:33
164,388,digital agency,nyc,40.7127753,-74.0059728,,,analyst,Data,,3.0,2.0,80000.0,0.0,1000.0,0,,3/21/16 13:33
165,389,nasdaq,philadelphia,39.9525839,-75.1652215,,,engineer,Engineering,,8.0,6.0,105000.0,,21000.0,21000,Stock doesnt seem to vest on a consistent schedule. Right now seems to be a 25/25/50% vest over 3 years.,3/21/16 13:33
166,390,microsoft,redmond,47.6739881,-122.121512,,,sde 2,Software,2,5.0,3.0,125000.0,5000.0,14000.0,3000,,3/21/16 13:33
167,391,bi esfera,"asunciÌ_n, paraguay",-23.442503,-58.443832,,PY,senior developer,Software,Senior,10.0,4.0,38400.0,0.0,3200.0,0,,3/21/16 13:33
168,393,guidewire,"dublin, ireland",53.3498053,-6.2603097,,IE,consultant,Other,,4.0,3.0,42000.0,0.0,6300.0,"âÂ20,000",,3/21/16 13:34
169,394,spotify,nyc,40.7127753,-74.0059728,,,engineer,Engineering,,10.0,2.0,187500.0,10.0,,20000,,3/21/16 13:34
171,399,ticket broker,northern california,38.8375215,-120.8958242,CA,US,chief of technology,Other,,15.0,3.0,125000.0,0.0,6000.0,8000,,3/21/16 13:34
172,401,ibm canada,"toronto, canada",43.653226,-79.3831843,,CA,peoplesoft administrator,Management,,15.0,10.0,112000.0,0.0,0.0,0,,3/21/16 13:34
173,402,microsoft,seattle,47.6061389,-122.3328481,,,software engineer,Software,,1.0,1.0,105000.0,10000.0,,,,3/21/16 13:34
175,405,cisco,canada,56.130366,-106.346771,,CA,software engineer,Software,,15.0,3.0,110000.0,0.0,14000.0,20000,,3/21/16 13:35
176,406,boutique development consulting,"denver,  co",39.7392358,-104.990251,CO,US,consultant,Other,,4.0,1.0,88000.0,,4500.0,,,3/21/16 13:35
177,407,self-employed,"kingston, canada",44.231345,-76.4809694,,CA,consultant,Other,,10.0,,180000.0,,,,,3/21/16 13:35
178,410,test,boston,42.3600825,-71.0588801,,,test,Other,,2.0,2.0,80000.0,0.0,0.0,0,,3/21/16 13:35
179,411,missouri  of science and technology,"rolla, mo, usa",37.948544,-91.7715303,MO,US,secondary cluster administrator,Management,,3.0,1.0,43000.0,0.0,0.0,0,,3/21/16 13:35
180,415,non-profit,boston,42.3600825,-71.0588801,,,techops manager,Management,,5.0,3.0,28800.0,0.0,500.0,0,,3/21/16 13:35
181,416,canonical,remote,,,,,software engineer,Software,,10.0,1.0,120000.0,0.0,0.0,0,,3/21/16 13:35
182,417,solidfire,"boulder, co",40.0149856,-105.2705456,CO,US,senior software engineer,Software,Senior,4.0,2.0,113000.0,0.0,9000.0,15000,Recently acquired by NetApp,3/21/16 13:35
